page,col,seq,彝文,IPA,直译,意译
224,R,1,3 A W,4u133 qho21 1D33 tsh33 VD,网 白 铺 了 下,猪 网 铺 挂 上
224,R,2,3 办,tshi21 tho33 tsh33 1o21,猎 狗 底 下,猎 狗 人 山 阱
224,R,3,了 九孔 ZI 3=,tshi2! tSD21 ni²1 ni21,猎 狗 吠 汪 汪,猎 狗 吠 汪 汪
224,R,4,与#口3: 3,33 si33 deskhu33thu33thu33,伙子声 猎,猎 人 日 吆 喝 急
224,R,5,田 Z 九 五,21 si33 mp do44 ne33 do44,不 出 别人 也 也,野 子兽非全出
225,L,1,光 主 勿,nu 33 dlo21 tsu do44,野猎 小 对 出,出 一 对 野 猪
225,L,2,WI 日 2,pur33 thi33 tee 1033 li33,山 处 梁 处 来,处 追 至 岭 梁
225,L,3,子 田,"VD 33 tsh,33 33 mp 33 te33 $1",网 十 张 不 着,十 网 没 套 住
225,R,1,正 WI 日,tch33 thj21 1033 ne 44,那 一 眼 处 通,独 有 一 眼 散
225,R,2,金 奖,k033 1e31 dess li33 t4133,快 手 伙子 来 攀,敏 捷 追 者 围
225,R,3,分 7科,21 de5s l;33 de21 yD,力 大 伙子 来 打,力 大 者 来 打
225,R,4,7科 开 与 ZX,de21 ne21 ni²1 tci33 Ses's,打 具 二 边 交,棍 棒 两 边 打
226,L,1,7 开 与,si44 21 ni²1 1e33 tsh;33 3G,木 美 二 圆 砧,佳 木 做 砧 板
226,L,2,正 Az,tch33 li33 mo²1 2133 ne 4,老 请 美 来 看,请 老 者 分 配
226,L,3,光 % 3,nu33 XD 21 dess tsess,野猎 肉 猎 伙子 接,猪 肉 分 与 众
226,L,4,Z 办,nu 33 si5s si33 tshi21 to33,野猪 血 猎 狗 喝,猪 血 喂 猎 狗
226,L,5,π 九,tsi33 dzi2l A33 tsh:33 ne33,州 官 也 阿 支,州官之阿支
226,R,1,A 日,33 4u33 tohe33 1033 bu21 VD,网 白 背 处 背,猎 网 背 上 背
226,R,2,田 电,2.0SS mp21 tsh:33 tsh33,我 不 到 地 到,到 处 寻 猎 场
226,R,3,3 九7= ® 每,si33 tshi2l Irmb 21 33,狗诱 做 猎 领,诱 领 着 猎 狗
226,R,4,诱 领 着 猎 狗,tsh021 si33 tsho21 mu33,伴 走 伴 走 做,结伴把 路赶
227,L,1,田 电,mp tshi33 tu33 nae33 tshi33,到 不 地 也 到,到 处 猎 场
227,L,2,ZZ 日 分,he31 102i YD33 tsh:33 ness,八 凹 深 处 到,至 深 山 密 林
227,L,3,生 C 了,VD 33 tu33 tshx4 1p33 te33,网 桩 插 了 立,网 桩 实 插 稳
227,L,4,A 又,VD 33 4u33 1204b 1D33 tDs,网 白 铺 了 搁,猎 网 铺 理 开
227,L,5,3 A & Z,33 1p33 q044 VD? 4u33 Eemb,网 白 拾 了 盖,挂起 了 猎 网
227,R,1,了,tshi21 1o21 tho² tsh133,猎 狗 凹 底 下,猎 狗 人 山 阱
227,R,2,3 写 7m,Si33 ve* xzpx²zp,猎 人 吆 喝 喝,猎 人 吆 声 急
227,R,3,田 Z. 九,21 do44 si33 do 4 mp ng33,别人 出 不 出 也,野 物 非 全 出
227,R,4,野 物 非 全 出,33 phu21 dzu' 33 ZD²1 do44,犀牛 遇 一 对 出,出 一 对 犀牛
228,L,1,分 O,go$s ZD 21 Z033 tce33 mx 44,昆 明 滇 池 湖,昆 明 滇 池 湖
228,L,2,3 4 田,si33 tshi21 do44 nD's mo21,猎 狗 旁 不 出,不 现 猎 狗 旁
228,L,3,了 田,si33 2.04 yu²! mo21 do44,猎 人 前 不 出,不 现 猎 人前
228,R,1,3= 田,33 4u33 4u33 do44 VD mp,网 白 白 不 出,不 现 猎 网 前
228,R,2,举 4,"ku""$s tche33 si21 t4u33 pu3",走 人 棒 九 根,猎 人 棒九 根
228,R,3,Z4,"pu33 kuw""s tche33 te33",人 棒 九 根 立,手 柱 木 棒 守
228,R,4,3 分 & 3,si33 tshi21 33 33 33 yD mb SD,猎 狗 得 完 了,猎 狗 已 聚 毕
229,L,1,3 九科 Z,"tshi21 Z,133 de21 dlu33",猎 狗 打 水 人,吆 狗 人 水 中
229,L,2,亏,mX 21 ni33 do44 1i33 4033,头 天 出 来 等,头 天 来 等 候
229,L,3,亏 田,ni33 mp 21 do44 li33,头 天 不 出 来,头 天 没 现 身
229,L,4,会,md 44 ob 31 li33 tD33,返 回 看 来 起,再 返 身 守 望
229,R,1,(王) 7=,ZO 33 tce. mx 44 me's dlp33,滇 池 湖 边 岸,滇 池 湖 岸 边
229,R,2,办 每 每,tshi21 mu 33 33 mu 33 do44,狗 的 犀牛 的 出,狗 犀 浮 水 面
229,R,3,万 分 又 O,kh133 XD 33 pu 33 tDss 4D33,那 的 份 搁 吧,犀 肉 依 份 分
229,R,4,办 每 &,tshi21 33 33 133 mu mb do21,狗 的 拾 了 搁,安 放 死 猎 狗
229,R,5,% Z,V133 33 33 mu 33 mb 33 ID33,犀牛 的 拾 了 拿,牛肉 带 走 犀
230,L,1,考 π 九 效,tshi33 A33 dzi21 ne33 tsi33,州 官 楠 阿 支,州 官 楠 阿 支
230,L,2,π 全 效 配,G133 dzi21 SD 33 A33 D03,县 官 少 阿 哦,县 官 少 阿 哦
230,L,3,举 效,ne 44 tsi33 A33 lu21,书 看 支 阿 鲁,师 爷 支 阿 鲁
230,L,4,A 7科 办,4a33 tshi21 0.55 de21 4,银 打 狗 头 抵,银 锭 偿 狗 资
230,L,5,了 世,"t@33 Ze 44 ms 33 tsi? p""p :33h33",演 者 资 帕,当 演者资 帕
230,R,1,3 科办 4,si33 0.55 de21 tshi21 Zae 33,金 打 狗 头 大,金 锭 狗 头 大
230,R,2,Az,2i33 me 44 le31 1i31,巧 手 美 来 剥,巧 手 剥 犀 皮
230,R,3,%,Gae 33 tsj33 VI33 do44 lj33,犀牛 皮 拿 过 来,带 犀 皮 过 来
230,R,4,田 Z 九 Z,21 bi21 si33 bi21 mp,不 给 别人 也 给,非 人 人 皆 与
230,R,5,分,A33 1y44 ZD 21 bi21,阿 勒 匠 儿 给,专 给 阿 勒 匠
231,L,1,效 五 分 2,A33 1i3 1y44 ku ZD21,阿 勒 匠 儿 来,阿 勒 巧 匠 艺
231,L,2,%泌,tshi33 tsi33 q044 bu²1 tce44,麂 皮 帽 背 带,鹿 皮 做 帽 带
231,L,3,T 7个 %,1p33 tsi33 q044 na 31 ce 44,獐 皮 帽 缝 带,獐 皮 做 缝 线
231,L,4,7,pu 33 dzi21 q044 31 na,豪猪 刺 帽 缝 针,豪 猪 刺 做 针
231,L,5,光 7每,q”o4qu² niu33 tsi33 mu33,野猪 皮 帽边 做,猪皮做帽边
231,R,1,% 飞E,33 q044 33 tsi33 bp21,犀牛 皮 帽 壁 做,犀 皮 做 帽 叶
231,R,2,72 3,q044 si33 bu33 ne44 de31,帽 顶 金 眼 耀,帽 耀 眼 顶 金
231,R,3,飞E A 张E,q044 bp²1 lu21 zi14 do4,帽 龙 影 现 壁,帽 叶 绘 龙 图
231,R,4,A O 飞E,qho4th033 du33 4D33 bp21,帽 底 白 月 亮,帽 里 似 月 白
231,R,5,用 勿 WI N,phe31 th121 tyss,首 先 一 顶 戴,第 子 顶 帽
232,L,1,田 Z 九,bi21 bi21 mp² 21 si33 ne33,不 给 别人 也 给,并 非 人 皆 给
232,L,2,分,tshi21 dzi2l bi21,尺 克 资 若 给,给 尺 克 资 若?
232,L,3,田 3= π,lur²1 lu²1 dzi21 t5033 Di4,看 样 样 司 处,诸 般 须 问 她
232,L,4,Z ? 日,q04 1044 0.55 1033 q044,帽 子 头 处 戴,帽 子 头 上 戴
232,R,1,去 子光3,qD3 qhD33 ng33 mu²1,春 天 多 多 热,无 论 多 么 热
232,R,2,7世 子 正 了,ci33 mu si33 hp33 9D21,夏 天 黄 下雨,夏 雨 淋 黄 荞
232,R,3,Z 田 而,th044 si33 t144 dzi21 nD21,别人 淋 她 不 淋,淋人 淋 她 不
233,L,1,田 3= π 子,lur²1 lur²1 dzi21 ni4,样 样 她 守 看,万 般 须 询 她
233,L,2,2 每,li44 mos q044 mz 21,缠 教 帽 的 使,用 作 测 戴
233,L,3,分 勿 IU 晶,"yD 33 np"" 33 thi21 phe31 dyss",后 来 顶 戴 一,第 二 顶 帽 子
233,L,4,田 Z 九,21 bi21 si33 ne33 bi21 mp,不 给 别人 也 给,非 见 人 便 给
233,L,5,π 九 半 分,dzi33 ne 33 mu 55 ZD 21 bi21,官 也 将 儿 给,给予官 将 戴
233,R,1,万 事 靠 官 将,khp²1 t th031 q044 mu 33,拷 迈 帽 的 使,戴 审 案 驰 马
233,R,2,7 女 WI,du21 thi21 phe31,后 来 顶 戴 一,第 三 顶 帽 子
233,R,3,田 Z 九,21 bi21 si33 np 33 bi21 mp,不 给 别人 也 给,非 人 见 人 给
233,R,4,效 分,A21 lu33 ZD bi21,阿 勒 匠 儿 给,给 阿 勒 匠 人
234,L,1,田 3= 司,lu²1 lu²1 ku tso ni44,样 样 匠 处 看,器 物 皆 靠 匠
234,L,2,Az 光 每,q044 le31 mu3 dy31,手 巧 帽 的 戴,帽 给 巧 匠 戴
234,L,3,田 h 子 天,1x44 ku mD21,不 爽 匠 守 看,造 器 找 匠 人
234,L,4,7 女 晶,thi21 phe31 du33 nD33,后 来 一 顶 戴,第 四 顶 帽 子
234,L,5,田 Z 九,mp 21 bi21 ng33 bi21,不 给 别人 也 给,给 非 人 见 人
234,R,1,茶 不 分,44 bi21 mx 2.133 pj33 ZD21,铁 拿 毕摩 儿 给,给 摇 铃 毕 摩
234,R,2,田 3= 不 司 亏,lu² lu21 t$o Di'y,样 样 毕摩 处 看,万 般 须 靠 毕
234,R,3,光,n1ss thu31qh044 mu dy31,邪 点 中 帽 作 戴,作 法 时 戴
234,R,4,田 不 亏,21 ni44 mp pi33,不 爽 毕摩 守 看,患 疾 毕 作 法
234,R,5,7 日 IM,phe31 1033 th121 tyss,尾 处 — 顶 戴,后 顶 帽 最 一
235,L,1,田 Z 九,21 si33 bi21 mp bi21 ne33,不 给 别人 也 给,非 人 见 人 给
235,L,2,分,niss phu33 t4u44 ZD?1 bi21,阴 寨 人 儿 给,给 阴 间 亡 魂
235,L,3,去 飞,ne 33 55 4D33 V33 ku*'s ms,春 当 中 三 月,春 三 月 当 中
235,L,4,去 子 当3,ne? 33 qhD33 h33 mu ab Ss&G,春 天 多 多 热,无 论 天 多 热
235,R,1,Z4 台 田 了,21 te33 nu33 SS0 mp,你 头 热 不 着,你 头 晒 不 着
235,R,2,Z 台 了 九,si33 055 te33 ti44 ne3,别人 头 淋 着 也,他 人 头 受 淋
235,R,3,Z4 台 田 了,nu33 055 ti44 mp 21 t@33,你 头 淋 不 着,你 淋 雨 头 不
236,L,1,? 日 T,"q044 055 1033 h44 1044 o,b",帽 子 头 处 戴,帽 子 戴 头 上
236,L,2,7世 子 开,C133 si33 kho21 De21 nu33,柯 兴 诗 安 奴,柯 奴 兴 诗 安
236,L,3,T 每,q04 mu 33 bi21,帽 影 做 你 给,帽 子 备 与 你
236,L,4,米 7 W,si44 niss mx 44 12n6 tsess,铁 犁 木 嘴 接,木 犁 头 接铧
236,R,1,日 N. IV 亏,55 tsh;33 th121 ni33 np 1033,阴间 处 到 一 日,去 至 阴 间 日
236,R,2,介 九 子,aG 55 m133 ne33 mu²1 ny.'s,阴 间 也 天 热,阴 热 间 也 天
236,R,3,7世 子 开,kho21 g21 ne nu33 $03,柯 兴 诗 安 奴,柯 兴 诗 安 奴
237,L,1,? 日 T,q044 1044 055 1033 q044,帽 子 头 处 戴,帽 子 头 处
237,L,2,Az,55 h44 np teiss ob,阴 间 畜 牧 戴,阴 间 畜 牧 戴
237,L,3,介,np 55 mi3 SD33 405 q044,阴 间 耕 作戴,阴 间 耕 作 戴
237,L,4,介 70 T,55 ：33 tshi21 tshi33 q044 np mi,阴 间 男 娶 戴,阴 间 娶 媳 戴
237,L,5,介 21 T,55 33 tsiss q044 np mi33 nu,阴 间 女 嫁戴,阴间嫁女戴
237,R,1,光 7世 开,kho21 3G 21 nu33,柯 兴 诗 安 奴,柯 兴 诗 安 奴
237,R,2,九4 无,"ku33 tsh,33 phu2 nu33",九十 你 祖 世,九 冏十 代 你 祖
237,R,3,九 冏十 代 你 祖,"nu 33 phu21 q044 $0,'s",你 祖 帽 得 死,死 你 祖 获 帽
237,R,4,ZZ4,"he31 tsh33 33 h21 zi33 nu p""1",十 女祖 世 八 你,八 十 代 女 祖
237,R,5,子,ph121 q04 nu33 $OSS,你 女祖 帽 得 死,女祖 获 帽 死
238,L,1,200 tz 无,si21 pp2 ts133 nu33,七 十 你 父 世,七 十 你 父 世
238,L,2,U,kh031tsh33 nu33 mp 33,六十 世 你 母,六 十 你 母 世
238,R,1,兄 姐 获 帽 死,MI z4 N,tsh;33 th21tsh33 nu3 zi33,一 十 你 世 到
238,R,2,MI z4 N,tsh;33 th21tsh33 nu3 zi33,一 十 你 世 到,至 一 十 你 世
238,R,3,ZH 九 子,q044 $O 55 nu33 ne33,你 也 帽 得 死,你 亦 得 帽 死
238,R,4,7开 7开,dzi21 2133 si33 dzi21 Z.133,趋 去 魂 趋 去,前 去 魂 前 去
238,R,5,去 子 WI 开学,ne33 mu²i th12i dzi21,春 天 一 季 落,春 季 已 逝 一
239,L,1,,th21 kho33dzi2zi3 :33 1D33,样趋去 吧,路前去 吧
239,L,2,路前去 吧,A21 dz.0²1 d33 ni21 mi33,彝地 阿着底,彝乡阿着底
239,R,1,万日,kh33 1033 tsh33 33 zi3 1D33,那里到去 吧,魂归那里去
241,L,1,半科半,dze21 de21,梭 打,打 制
241,L,2,D4号田,n121 t4u33 0.55 mp21 tshi44,彝人头 不绝,彝人事 无尽
241,L,3,4住 田古,tsi3 mp21 tsh044,人处 不着 汉,汉人遍地 居
241,L,4,73 &,dzi2l dzi21 33 33 zi33 $0 mb,章章 诵 完 呢,各章经诵完
241,R,1,标 梭,qess Hu²1 tsi?3 do21,亲放 院 坝 掉,丧 亲 坝 至 院
241,R,2,住V田 电,tsi33 dz133 gess 133 1o21,院 坝 亲 来 满,戚站满院 亲
241,R,3,戚站满院 亲,n121 le31 phD33 da4 dzu,彝 手布裁余,彝手裁布长
242,L,1,张 Z,Se31 le21 bu²1 tci44 niss,汉 手 丝 扯 短,汉 手 扯 丝 短
242,L,2,非 不 遗 还 诵,qe44 33 qhe44 mu²1 mi tsi33,天 强 地 强 遇,强 天 配 强 地
242,L,3,企 X A 本,qhe44 tch121 mi 33 4u33 Ip21,地 强 白 犁 铧,犁 铧 胜地 强
242,R,1,开 # 又,"zi33 th21 dz,i21 tDss",一 章 剩 搁 呢,剩 下 此 章 经
242,R,2,ZX,le31 qe31 tche33 :44 ni,线 绕 手 赶 青,手 绕 青 色 线
242,R,3,④ 每 不,33 b121 S121 np mu nu33,我 做 你 给 还,经 文 诵 与 你
242,R,4,与 3=,ni21 1p21 np 55 ab 1p21,两 耳 伸 扇 扇,两 耳 如 扇 展
243,L,1,专每 女,tohe?( mu? 33 np 33 h33 1D33,聪 的 听 来 啊,耳 聪 来 听 经
243,L,2,不 科,ni4 dze21 de21 133 S121,梭 打 看 来 还,再 来 看 制 梭
243,L,3,科 正,133 33 dze21 de21 ne 4 qD,梭 打 着 来 啊,快 来 看 制 梭
243,L,4,田 # 7,mp bu tsiss si21 dZD21,不 饱 前 走 吃,不 饱 阴 间 吃
243,R,1,女,the?( mu3 np 33 1h3 goss,聪 的 听 来 要,定 要 耳 聪 听
243,R,2,五,hp33 1o21 tchi31 ku,郝 罗 奇 格 娓,郝 罗 奇 格 娓
243,R,3,3 专,"si33 si33 55 h21 90'5 ms p""D",郭 诗 他 三 父,郭 诗 冏三 父 子②
243,R,4,介 N 为#,m33 phe31 tsis khu33,我 地 叶 伸 丛,我 乡 木 叶 繁
243,R,5,3,m133 si33 nD's,我 地 猎 关 多,我 乡 猎 场 多
244,L,1,IM 天,dz121 th21 0i33,我 畜 牧 一 日,畜 我 牧 之 日
244,L,2,# 分,"dz121 tcr""s phe31 tsiss",畜 牧 叶 伸 处,放 牧 林 茂 处
244,L,3,Z WI 天,th21 ni33 duss 10b,我 耕 种 一 日,我 耕 种 之 日
244,L,4,特 3 ★,kD3 q021 si33 ne44 nDss,路 耕 猎 关 多,多 沿 路 猎 场
244,L,5,3,si33 ne4 4e33 dz121 90$5,猎 场 山 畜 野,猎 场 猎 野 物
244,R,1,WI 专,dzi21 th33 ob 55 ZD 21,铜 方 它 昆 明,产 铜 之 昆 明
244,R,2,中 分 专 口,ob 55 si33 th121 lu33 ZD21,昆 明 它 一 城,昆 明 之 一 城
244,R,3,口,lu33 su33 tsh133 tsD,城 放 三 十 道,通 街 三 十 道
244,R,4,飞 至,1p21 zu²1 tho² kuss 4e33,九 牛 使 松 林,牛 犁九 林 地
245,L,1,田 3=,zw 21 b121 mp21 xw 44 xw 44,使 给 不 勤 勤,给 牛 不 勤 犁
245,L,2,Y 田 3=,aG 55 qh031 mp21 44 xw 44,犁 还 不 勤 勤,还 牛 蹭 迟 迟
245,L,3,九 与,q021 Ip21 IeP ng33,耕 牛 使 得 也,得 到 耕 牛 使
245,R,1,了 专,goss si33 si33 ssms,郭 诗 他 三 父,郭 诗 三 父 子
245,R,2,特 G 不,S121 Z.OSs phu²1 kD33 ZO.Ss,我 价 加 要 还,尚 须 付 款 工
246,L,1,,"xw 44 z,133 bu²1 mu 33 z,133",铁 拿 拿 背 做,取 铁 用 背 背
246,L,2,包 包,niss 33 33 Di'Ss qD mu,土 掏 土 玩 做,挖 开 土 层 后
246,L,3,包 特 3=,niss ku33 bu bur3,土 中 铁 堆 堆,出 矿 露 铁 石
246,L,4,特 丑 万 日,44 kh13 33 mx ne21 1033 SD,铁 贵 那 里 找,那里找铁料
246,R,1,乱,"A33 kur's le31 1,33",阿 勒 会 手 来,人 阿 勒 匠 艺
246,R,2,飞丑 又 飞 专,ku*s ne 21 kur*s si33 tD.ss,匠 贵 走 搁 匠,来 请 其 打 梭
246,R,3,效 分,ku's le31 A33 1y44 ZD1,会 来 阿 勒 儿,阿勒之 工匠
247,L,1,飞考 田 日,ku's si33 mp 21 lu33 2133,匠 走 去 不 愿,工 匠 不 愿 去
247,L,2,飞2 五,kp33 ku si21 kur's pu',匠 路 返 九 走,反 复 请 九 次
247,L,3,飞2 专 不 田,"kur's si21 Z,133 mp 21 ne 33",匠 走 去 不 是,非 匠 不 前 去
247,L,4,飞# 田,kurss kD33 pu 44 mp 21 33 ne,路 是 匠 返 不,反复 非 为 别
247,L,5,飞( 司,ku*s phu21 204 t5033 2i33,匠价 讲 在 呢,在讨还 工廠 价
247,R,1,飞,"phu21 ku"" p 4u33 ku*s tshi33",匠 价 银 九 钱,工 钱 银 九 钱
247,R,2,飞,h21 h33 kw*s ph;21 ab,匠 粮九 价 板,再加
248,L,1,飞,ku*s phu21 33 du33 mb,匠 价 讲 完 后,工 价 讲 定 后
248,L,2,效 专 飞,A33 1y44 si33 kur*s V133,阿 勒 匠 主 家,阿 勒 工 匠 家
248,L,3,专 效,"kuu*s si33 A33 1x44 p""D h21",匠 主 阿 勒 帕,工 匠 阿 勒 帕
248,R,1,几 金 W,33 VD mp Di4,鸟 母 旋 心 粘,羽 毛 箱 中 翻
248,R,2,茶,php21 44 kur's tD33 mx,匠 父 起 铁 拿,铁匠夹铁块
249,L,1,7 A N.,du33 gu 21 4u33 tsh;33,低 头 床 白 到,低 腰 至 砧 桩
249,L,2,7科 3,tshi33 44 de21 ne 4e31,打 砧 黄 黑,砧 桩 发 光 亮
249,L,3,7科 效,de21 pu33 A33 ne 44,打 边 乌 鸦 嘴,砧 嘴 乌 鸦 喙
249,L,4,山 口 学,44 1i21 bu²1 lu33 xw t4u33,铁 屎 蝴 蝶 飞,铁屑亻 似 蝶 飞
249,R,1,科,fi33 de21 bu33 tD33 tche33,甩 打 肩 起 上,抢 锤 肩 N 上
249,R,2,面 43=,tsh33tsh33 sw de21 b133,锋 打 散 下 下,打 铁 铁 屑 飞
249,R,3,田 刀 致 3=,mp21 the4 1h33 tci44 tci4,不 利 来 恐 恐,唯 恐 不 锋 利
249,R,4,田 致 3=,"21 l,33 tci44 mp² gy31 tci4",不 咬 来 恐 恐,唯 恐 不锋利
250,L,1,田刀万 田 m,mp²1 the441 kh133 mD21,不 利 它 不 有,打 制 出 利 梭
250,L,2,田 m,mD21 diss tohe33 dg21,不 放 四 根 打,强 留 打 四 根
250,L,3,田,lu21 tho33 yu²l t mp21 13033,龙 把 底 不 有,没有龙骨柄
250,R,1,4M,tshu33 bu33 tsh33,发 扯 肩 上 下,解 发 披 垂 背
250,R,2,分,kw's dzi21 ZD21 tsu du²,格 资 儿 双 放,格 资 遣 双 儿
250,R,3,日 苗,1o33 qD 33 $D 55 do21,前 处 多 难 迈,行 艰 难 向 前
250,R,4,去,33 do21 di21 21 pu 33 qD gp,与 那 迈 的 闻,听 闻 何 处 行
250,R,5,7 了,dzD 90$5 Y031 8i33 ne4,吃 野 处 兽 黑,猛兽 叨 猎物
251,L,1,3,33 bu²1 renybrenyb bu²1 mb,拾 背 声声 背,猎 物背 上 嘶
251,L,2,了 7水,si33 do21 gD 21 ne 44 mb 33,猪 掉 食 物 捡,兽 死 捡 作 食
251,L,3,7世,4133 mu21 4u33,天 白 沾 茂 大,树高人云端
251,R,1,了 # 日 男,te33 mg33 ts133 10.33,云 尾 边 处 走,道路 伸 人 云
251,R,2,了 日 男,te33 th121 tsu 1033,云 处 桥 处 走,走过 云端 桥
251,R,3,苗 7水 3= 苗,"q""D h33 55 do21 SD 55 SD",多 迈 难 难 迈,艰 难 往 前 迈
251,R,4,46 永,lu33 m8 33 pu 33 do21,罗 平 舍 伯 迈,走罗 平舍 伯?
252,L,1,去,pu 33 gD,舍 伯 迈 的 闻,闻 在 舍 伯 走
252,L,2,至罗平舍伯,tho21 lexzp do21 ng33 eemd,青松 与 沙松 些 迈,青松 沙 松 林
252,L,3,飞,mG 33 ZO 44 te3 mzp.myb,沙松 长 云尾 齐,沙 高齐 云 松
252,R,1,强正田 国,lu21 yw²ltch33 mp 3G 33,龙 骨 它 不 是,不 是 龙 骨 柄
252,R,2,日 苗 7水,yu 1033 a.b h33 SD 55 do21,前 处 多 难 迈,艰 难 向 前 行
252,R,3,光苗 去,qD33 55 do21 di21 SD 9021,多 难 迈 的 闻,听 闻路 途 艰
252,R,4,WO 7m 永,dz.021 2133 A21 bu3 do21,阿 着 水 岸 边,阿 着水 边 行⑧
252,R,5,阿 着水 边 行⑧,L- A21 dzo²1 z133 bu33 tsh;33,阿 着 水 岸 到,川阿着水 到 边
253,L,1,日,phu21 1i44 do44 1033,祖 出 船 处 伴,亡 魂 上 渡 船
253,L,2,IM,1i44 phu21 th121 qho21,船 借 祖 处 铺,借 过 船 渡 水
253,L,3,田,"lu21 tgh33 mp 21 33 ,,mx ne",龙 是 骨 它 不,不 是 龙 骨 柄
253,L,4,苗 77,lu²1 qD33 55 do21 yw2 $D,龙 骨 多 难 迈,艰 寻 龙 骨 柄
253,L,5,光苗 去,"h33 21 q""D SD 55 do21 di21 gp",多 难 迈 的 闻,听 闻 路途 艰
253,R,1,,Ip21 kh033 ni21 ho33 do21,陆 良 匡 山 迈,走 陆 良 匡 山
253,R,2,与,tsh:33 Ip21 ni²1 kh033 ho33,陆 良 匡 山 到,到 陆 良 匡 山
253,R,3,田 专 日,qho21 si33 1033 pe44,他人 处 伴 不 铺,不 铺 与 人 共
253,R,4,田 WI,qho21 th133 124b tci44 mp,扯 铺 不 尽 铺,单 独 懒 不 铺?
253,R,5,强正 田,33 lu21 m8 21 1.31 h33 mp 21 3G,龙 骨 它 不 是,不 是龙骨 柄
254,L,1,苗,lu21 th33 55 SD do21,龙 骨它 难 迈,艰 寻龙 骨 柄
254,L,2,m 众 苗,"4i's dz133 SD"" tc""e ch44",希 津 劳 绍 村,希 津 劳 绍 村
254,L,3,万孟 去,kh3 yw di21 21 gD,它 前 迈 的 闻,听 闻 村 前 过
254,L,4,致 7 2,np 55 li31 1h33,鱼 叫 鳞 脱 来,脱 鳞 鱼 惨 叫
254,R,1,Z ?,q044 th121 niss 1044,伞 盖 一 中 午,撑 伞 在 中 午四
254,R,2,A 田 ?,lu21 yu²1 tch33 mp 33,龙 骨 它 不 是,龙 骨 柄 不 是
254,R,3,苗 永,tgh33 SD 55 do2i,龙 难 迈 骨 它,艰 寻 龙 骨 柄
254,R,4,苗 去,qD33 55 do21 di21 gD 21 as,多 难 迈 的 闻,听 闻 路 途 艰
255,L,1,笠 去,21 33 di21 21 g0 pu do21 gD,圭 山 迈 的 闻,听 闻 走 圭 山
255,L,2,子,mu² Y031 9021 pur33 tshi:33,天 际 主 黃山 到,天 台 圭 山 至
255,L,3,田,"lu21 mX 21 tc""r"" h33 mp 21 ne 33",龙 骨 它 不 是,不 是龙骨 柄
255,R,1,飞田 国,tgh.33 21 33 33 1D33 mp ne qD,它 不 是 因 啊,因 为 它 不是
255,R,2,7: W Z4,me dzi31 bu²1 tche33tsh33,尾 扯 虫线下,扯 尾 丝 脱 线
255,R,3,田 分 日,21 33 33 Ip21 lo21 mp yD qD,不 获 门 牛 满,未 获 满 门 牛
255,R,4,7HL,VI14 hp3 1o21 tch131 kur's,赫 罗 其 格 娓,赫 赤罗 其格娓
256,L,1,公会 N.,tsh:33 ku33 md 33 zi33,身 子 起 柱 脚,从 柱 脚 起 身
256,L,2,A,4u33 mb 33 1D33 bu21 VD33,网 白 身 了 背,猎 网 背 身 上
256,L,3,3 号 住,si33 he4 tsi33 1p33 do44,猎 狩 遇 了 出,邀 约 猎 伴 行
256,L,4,3 Z,si33 VI33 tshi21 Se21 1D33,猎 狗 领 了 拿,带 领 上 猎 狗
256,R,1,与,ni21 fe-ss bu33 3.31 h33 tsh:33,二 岩 肩 上 到,来 到 山 岩 头
256,R,2,A E,VD 33 4u33 ku33 1D33 da31,网 白 整 了 网,猎 网 张 开 套
256,R,3,TH C,tu33 ts44 te33 to4 Ip33,撑 具 插 了 立,网 桩 插 立 稳
256,R,4,3,si33 tshi21 1021 tsho21 dur²1,猎 狗 凹 冲 放,猎 狗 箐 放 山
257,L,1,与 工,si33 ni21 ts133 tche21 2.04,猎 人 二 十 排,猎 人 二 十 排
257,L,2,3 九孔 ZI 3=,"tshi21 dz,.D² n11",猎 狗 吵,猎 狗 吠 汪 汪
257,L,3,3 口,"si33 Z,033 yncnyb",猎 人声 沸 沸,猎 人 声 沸 沸
257,L,4,3 Z,"si33 si33 ms 55 h21 90S p""D",果 诗 他 三 父,果 诗 三 父 子
257,L,5,司 亏 公会,"1D33 1,33 t$033 nj33 tD33",转 了 日 来 起,连 日 转 山 中
257,R,1,面 米 至,zi31 1p5s do44 su 55 4e33,豹 虎 出 三 林,林 三 处 虎 豹
257,R,2,ZA 面 至,tsh:33 Ip33 do44 su 55 4833,麂 子 出 三 林,三 处 子 林
258,L,1,九 田 五,tsh;33 1D33 33 21 do 4 ne mp,子 也 不 出,子 没 出 现
258,L,2,田 九 田,ne 33 21 do44 noSs 9oss mp²,猴 野 也 不 出,猴 子 没 出 现
258,R,1,3 办 效 企 口,tshi21 A33 m133 lu33,猎 狗 什 么 吠,猎 狗 吠 什 么
258,R,2,电,44 A33 33 ZO m133 tw,猎 人 什 么 拦,猎 人 围 什 么
258,R,3,效 电 去,A33 m133 $033 di21,什 么 拦 在 的,正 在 围 什 么
258,R,4,甘 日 田,dD21 1033 tho31 21 tsh;33 mD,兜 拦 底 不 到,落 网 不 到 底
259,L,1,田 住,t1ss. tch33 th121 tsi33,-它 不 像 一 棵,遇 一 怪 异 木
259,L,2,万 日 又 米,kh33 1033 do21 tpss,那 里 掉 搁 着,生 长 在 那 里
