序号,页码,撒尼语读音(我方记法),汉文释义,义项数
89,4,pA7 tɕA+,①霸占 ②爆炸,2
90,4,pA7 tɕi+,坝子(小平原),1
91,4,pA7 tʰo7,霸道,1
92,4,pA7 ʐɯ7,故意；特地,1
93,4,pA7 ʐɯ7 mɔJ dɤ+,无意,1
94,4,pe+,脱落(掉)：牙齿脱落了,1
95,4,pe+ tʂ+,搬迁,1
96,4,pe+ tʰA mɔ+,陀螺；得螺(一种会旋转的木制小玩具),1
97,4,pe7 f?ɤJ,办法,1
98,4,pe7 f?ɤJ mɔJ tʰo7,无法；没有办法,1
99,4,peJ,女人生殖器,1
100,4,peJ,①陈列：陈列起来 ②悬：悬案 ③唉(表示不满意),3
101,4,peJ ghɤ+,性交,1
102,4,peJ kʰo+ tʂiJ,办公室,1
103,4,peJ tʰo7,摆设,1
104,4,peJ xɔ+,办妥了,1
105,4,peJ ʐo7,难办,1
106,4,peJ ʑuA7,谎言,1
107,4,pʰi+,瓶：酒瓶子,1
108,4,pʰi+ tʂ+,杯子,1
109,5,pA+ bi7,杂技,1
110,5,pA+ bi7 gɔ+,耍把戏,1
111,5,pA+ gɔJ lɿ+,①反转 ②倒置,2
112,5,pA+ kʰɛi+,扒开,1
113,5,pA+ tʂi+,疤,1
114,5,pA+ tʂi+ si+ thɿ+,巴基斯坦,1
115,5,pAJ,(释义未显示),1
116,5,pAJ,①炸：炸玉米花 ②半(半斤；半升)：半斤猪肉,2
117,5,pAJ dʐiJ,把持,1
118,5,pAJ kʰo+ zɔJ,八哥(鸟名),1
119,5,pAJ kʰo7,板桥(地名),1
120,5,pAJ pʰi7,炸,1
121,5,pAJ tu+,凳子,1
122,5,pAJ tʂ+,升子(量具),1
123,5,pAJ tʂi+ bA+,打靶,1
124,5,pAJ tʂi+ bA+ tʂ+,靶场,1
125,5,pAJ tʂi7,"""八字""(迷信用语)",1
126,5,pÃ+,(字头，释义未显示),1
127,5,pÃ+ gɔ+,帮助；援助,1
128,5,pÃ+ tɕÃ+,班长,1
129,5,pʰo7,公(雄性)：公马,1
130,6,pɔ+,①糟粕；渣 ②在,2
131,6,pɔ+ 1ɔ7,在其中,1
132,6,pɔ+ biJ,包揽；包干,1
133,6,pɔ+ mɔJ tʰo7,精华,1
134,6,pɔ+ pɔ+ mu+,重重地；狠狠地,1
135,6,pɔ+ pɔ+ mu+ dɤJ,痛打；狠揍,1
136,6,pɔ+ tʂi+,包子,1
137,6,pɔ+ tʰÃ+,包产,1
138,6,pɔ7,报(字头),1
139,6,pɔ7 kʰɔ7,报告,1
140,6,pɔ7 kʰɔ7 nẽ+,听报告,1
141,6,pɔ7 nɿ7 pɔ7 ne+ dzo+,象个假小子,1
142,6,pɔ7 tʂi+,报纸,1
143,6,pɔ7 tẽ+,回报,1
144,6,pɔJ,①校对 ②担保,2
145,6,pɔJ bo+,报销,1
146,6,pɔJ dʐwJ,把持,1
147,6,pɔJ t?ɤJ,报答,1
148,6,pɔJ tʰo+,保送人,1
149,6,pɔJ tẽJ,保证人,1
150,6,pʰɔ+,①换 ②调换,2
151,6,pʰɔ+ be+,说反话,1
152,6,pʰɔ+ dɛi7,①轮流 ②调换,2
153,6,pʰɔ+ dʐwJ,保证,1
154,6,pʰɔ+ kuÃ+,保管,1
155,6,pʰɔ+ pʰɔ+,要换吗？,1
156,6,pʰɔ+ tɤ+,可爱(专指小孩儿学说话),1
157,6,pʰɔ+ ʑuiJ,保卫,1
158,6,pʰɔ+ ʑuiJ dʐwJ lɔ7,包围,1
159,7,pɔ+,(字头),1
160,7,pɔ+ lɿJ,玻璃,1
161,7,pɔ+ tshɛ7,菠菜,1
162,7,pɔJ,(字头),1
163,7,pɔJ pɯ7,驳斥,1
164,7,pɔJ ɖʐuJ,剥削,1
165,7,pɔJ ʈʂ+,拨动,1
166,7,pʰɿ+,沾：沾了泥巴,1
167,7,pʰɿ+,①缎 ②翻,2
168,7,pʰɿ+ do+ pʰɿ+ do7,(词义截断，未显示),1
169,7,pʰɿ+ n?ɤ+ n?ɤ+ mu+,笨蛋,1
170,7,pʰɿ7,①秸：玉米秸 ②草：稻草,2
171,7,pʰɿ7 bɿJ,乱草,1
172,7,pʰɿ7 bɿJ,堆秸,1
173,7,pʰɿ7 dz?ɤ+,草腐,1
174,7,pʰɿ7 dz?ɤ+ dɤJ,织席子,1
175,7,pʰɿ7 dz?ɤ+ pʂi+ lɤ+ mɔ+,滑席(精制的卧席),1
176,7,pʰɿ7 tshiJ pʰɿ7 bɿJ,肮脏,1
177,7,pʰɿJ,(字头),1
178,7,pʰɿJ lɿ7,本利,1
179,7,pʰɿJ tshɿ+,资本；本钱；垫本；成本,1
180,7,pʰɿJ tshɿ+ 1oJ,夠本；保本,1
181,7,pʰɿJ tshɿ+ tʂɿ+,赔本；亏本；蚀本,1
182,7,pʰɿJ tshɿ+ ʂeJ,亏本；亏空,1
183,7,pʰɿJ tɿ7,本地,1
184,8,pɯ+,①叫：公牛叫 ②啼：公鸡啼,2
185,8,pɯ+,①绞：绞绳子 ②边：大河边,2
186,8,pɯ+ tʂɿ+,边缘；边境,1
187,8,pɯ7,①斗(量词) ②斗(名词) ③掼(使动) ④洞,4
188,8,pɯ7 duJ,坑,1
189,8,pɯ7 ne+,洞；窟窿；空隙；隧道,1
190,8,pɯ7 ne+ duJ,挖洞,1
191,8,pɯ7 ne+ dʐi+,通洞,1
192,8,pɯ7 ne+ g?ɤ7,掏洞,1
193,8,pɯ7 ne+ ghwJ,洞口,1
194,8,pɯ7 ne+ tu+,通洞；有小孔,1
195,8,pɯ7 tshu7,步骤,1
196,8,pɯ7 tʂi+,账本,1
197,8,pʰɿ+ 1e+,翻,1
198,8,pʰɿ+ gɔJ,①翻过来 ②返回,2
199,8,pʰɿ+ tu7 lɛi+ tshɿ+,翻滚,1
200,8,pʰɿJ,凸：地面凸着,1
201,8,pʰɿJ Si+,本事；本领；能力,1
202,8,pʰɿJ Si+ mɔJ tʰo7,无能,1
203,8,pʰɿJ tʂi+,北京,1
204,8,pʰɿJ tʰÃ+,白糖；麦芽糖,1
205,9,pɯ+,推：推石头,1
206,9,pɯ+,漂：水上漂着树叶,1
207,9,pɯ+,①驯：驯牛 ②绵羊(古语),2
208,9,pɯ+,米(玉米的米),1
209,9,pɯ+,哥：我哥哥昨天从昆明回来,1
210,9,pɯ+ A7 l?ɤJ tɛ+,推翻,1
211,9,pɯ+ dziJ,刺猬,1
212,9,pɯ+ dziJ dziJ,刺猬刺,1
213,9,pɯ+ dʐiJ,抵挡,1
214,9,pɯ+ kʰɛ+ tɤ+,浮在上面,1
215,9,pɯ+ kʰɛi,推开,1
216,9,pɯ+ l?ɤJ,推倒(泛指),1
217,9,pɯ+ lo7,放绵羊,1
218,9,pɯ+ pɯ7,推倒(专指重物和人),1
219,9,pɯ+ tsuJ,补助,1
220,9,pɯ+ tʂɿ+ ʂi+ ʂi+,沿岸,1
221,9,pɯ+ tʰo+,推起来,1
222,9,pɯ+ tʰɿJ,补贴,1
223,9,pɯ+ xɔ+,推掉,1
224,9,pɯ+ ʈʂ+,推动,1
225,9,pɯJ,补：补栽辣子秧,1
226,9,pɯJ biJ,找补,1
227,9,pɯJ tɛ+,布丹(国名，疑即不丹),1
228,9,pɯJ tʂiJ,布置,1
229,9,pɯJ tʰÃ+,部长,1
230,9,pɯJ tʰÃ+,步枪,1
231,10,pɯ+,①山 ②分 ③窝,3
232,10,pɯ+ bet zɔJ,襁褓,1
233,10,pɯ+ bɔJ,山坡,1
234,10,pɯ+ bɔJ ŋuJ tʂɛi+ duJ,山坡放牛处(文学语),1
235,10,pɯ+ de+,上坡,1
236,10,pɯ+ de+ de+,上缓坡,1
237,10,pɯ+ dlɔ+,半坡,1
238,10,pɯ+ loJ,①山凹子 ②陷落塘,2
239,10,pɯ+ loJ mɤ+,凹塘地,1
240,10,pɯ+ loJ nɿ7 pʂi+ dɿ+,淤泥塘,1
241,10,pɯ+ mɔJ tʰo7 ʂi+ lɿ+ tʰo7,山不转水转,1
242,10,pɯ+ mɤ+,山地,1
243,10,pɯ+ mɯ+,山高,1
244,10,pɯ+ nɤ+ pɯ+ bɔJ,背后议论别人,1
245,10,pɯ+ pɯ+ bet,自赞自夸；自讲,1
246,10,pɯ+ pɯ+ do+,空等(白等),1
247,10,pɯ+ pɯ+ mu+,白费劲,1
248,10,pɯ+ pɯ+ mu+ dzɔJ,白吃(不交伙食费),1
249,10,pɯ+ pʰi+,山腰,1
250,10,pɯ+ tu7,陡坡,1
251,10,pɯ+ tu7 de+,爬陡坡,1
252,10,pɯ+ tu7 zeJ,下坡,1
253,10,pɯ+ tʰo+,山梁,1
254,10,pɯ+ tʰo+,山下,1
255,10,pɯ+ tʰɿJ o7 ɖʐ+ tʰɿJ bɔJ,漫山遍野,1
256,10,pɯ+ zɔJ,小山,1
257,10,pɯ7,笨：很笨,1
258,10,pɯ7 muJ pɯ7 lɯ7,慢条斯理,1
259,10,pɯ7 muJ pɯ7 tʂʰɿ+,笨头笨脑,1
260,10,pɯ7 ʂɿ+ khuJ,青山口(村名),1
261,11,piA+,表(字头),1
262,11,piA+ ZAJ,表扬,1
263,11,piA+ Zɿ+,标语,1
264,11,piA+ bẽJ,表现,1
265,11,piA+ thɿJ,填表,1
266,11,piA+ tʂA+,膘肥体壮,1
267,11,piA+ tʂuĩ+,标准,1
268,11,pɯ+ A+ ku+ mɔ+,蜗牛,1
269,11,pɯ+ A+ pʰi+,山腰,1
270,11,pɯ+ ZɛiJ mɔ+,大山,1
271,11,pɯ+ dlɔ+ mɔ+,长坡,1
272,11,pɯ+ dlɔ+ mɤ+,坡地,1
273,11,pɯ+ dʐo7,下边,1
274,11,pɯ+ dʐo7 pɯ+ dʐoJ mɔ+,深谷,1
275,11,pɯ+ dʐoJ ʐo7,下面(指方位),1
276,11,pɯ+ go+,山里,1
277,11,pɯ+ go+ Si+ ne+ duJ,深山林密,1
278,11,pɯ+ gɔ+,山丫口,1
279,11,pɯ+ gɔ+ mɔ+,大丫口,1
280,11,pɯ+ gɔ+ zɔJ,小丫口,1
281,11,pɯ+ gɛi+ gɔJ mɔ+,山湾子,1
282,11,pɯ+ o7,山头；山顶,1
283,11,pɯ+ o7 gɔJ,山峰,1
284,11,pɯ+ tʂhi+,山麓；山脚,1
285,11,pɯ+ tʂhi+ pɯ+ leJ,漫山遍野,1
286,11,pɯ+ tʂhɔ+,补钉,1
287,11,pɯ+ tʂhɿ+ mɔ+,旱稻,1
288,11,pɯ+ tʂi7 tʂi+,泉水,1
289,11,pɯ+ tʂɛ+ de+,上山,1
290,11,pɯ+ tʂɛ+ mɔ+,山峦,1
291,11,pɯ+ tʂɿ7,山沟,1
292,11,pɯ+ tʂɿ7 mɔ+,箐沟；深沟,1
293,11,pɯ+ tʂɿ7 tʂi+,山箐(涧水),1
294,11,pɯ+ tʂɿ7 tʂi+ ZɛiJ mɔ+,山洪,1
295,11,pɯ+ ɛ+ D?ɛi+ mɔ+,野山药,1
296,11,pɯ+ ʐoJ,山洼,1
297,12,phi+,泼,1
298,12,phi+ XɛiJ,颜色,1
299,12,phi+ XɛiJ ho+,染色,1
300,12,phi+ Zɿ7,便宜,1
301,12,phi+ Zɿ7 dzɔJ,贪便宜,1
302,12,phi+ Zɿ7 tʂA7,占便宜,1
303,12,phi+ Zɿ7 tʂɿ+,讨便宜,1
304,12,phi+ lA+ mɔ+,荒蓝,1
305,12,phi+ loJ,平坦,1
306,12,phi+ loJ loJ,平坦坦,1
307,12,phi+ lɿ+ phA+ lA+,噼呖啪啦(象声词),1
308,12,phi+ phiJ,批评,1
309,12,phi+ tʂuĩ+,批准,1
310,12,phi7,边(指方位),1
311,12,phi7,①破 ②裂,2
312,12,phi7 Si7 mɔ+,哨子,1
313,12,phi7 phi7 A7 A7,破破烂烂,1
314,12,phiJ,①板(木板、板子) ②祖母,2
315,12,phiJ,①吐,1
316,12,phiJ duJ mɔ+,①罐子 ②臼,2
317,13,phe+,①半 ②回声,2
318,13,phe+ S?A7 phe+ mɔJ S?A7,一知半解,1
319,13,phe+ be+ phe+ mɔJ be+,半理不睬,1
320,13,phe+ dziJ phe+ mɯ+,半生不熟,1
321,13,phe+ dzɔJ phe+ mɔJ dzɔJ,食欲不振,1
322,13,phe+ lɛi+ phe+ mɔJ lɛi+,冷淡,1
323,13,phe+ tʂi+ phe+ Si+,半死不活,1
324,13,phe+ tʂi+ phe+ tʂɯ7,奄奄一息,1
325,13,phe+ tʂɯ+ phe+ tʂɔJ,半真半假,1
326,13,phiJ nẽJ,贫农,1
327,13,phiJ pɔ+,皮包,1
328,13,phiJ tʂhi7,脾气,1
329,13,phiJ tʂhi7 fAJ,发脾气；大发雷霆,1
330,13,phiJ tʂhɛ+,弹弓,1
331,13,phiJ xɔ+ dɛiJ,聚友,1
332,13,phɿ+,赔(赔偿),1
333,13,phɿ+ doJ,赌博,1
334,13,phɿ+ gɯ+,还清账目,1
335,13,phɿ7,①骗 ②配,2
336,13,phɿ7 XɛiJ,①配合 ②协调,2
337,13,phɿ7 biJ,配备,1
338,13,phɿ7 dʐiJ dɤJ,配得上,1
339,13,phɿ7 fɯJ,佩服；服气；钦佩,1
340,13,phɿ7 pe+,搭配,1
341,13,phɿ7 tʂhɿ+,齐全,1
342,13,phɿ7 tʂi+,配得好(佐料),1
343,14,phe+,①灰(色) ②肩,2
344,14,phe+,①抢 ②狠 ③辣(味),3
345,14,phe+ dAJ,灰色,1
346,14,phe+ dAJ dAJ,灰扑扑,1
347,14,phe+ gɔJ gɔJ,灰茫茫,1
348,14,phe+ gɔJ mɔ+,灰色,1
349,14,phe+ ku7 phe+ mɔJ ku7,半懂不懂,1
350,14,phe+ lɛJ,蓝色,1
351,14,phe+ lɛJ lɛJ,深蓝色,1
352,14,phe+ lɛJ mɔ+,天蓝色,1
353,14,phe+ mu+ thu+,灰色,1
354,14,phe+ muJ phe+ tʂhɿ+,灰尘满面,1
355,14,phe+ nɿ7,肩膀,1
356,14,phe+ tʂhɛ+,肩上,1
357,14,phe+ ʐɯ+,驼背,1
358,14,phe+ ʐɯ+ ʐuĩ+,弓腰驼背,1
359,14,pheJ,①叶子 ②只,2
360,14,pheJ Se+ ʐoJ,耙栗叶,1
361,14,pheJ dɔJ,叶子,1
362,14,pheJ mɤ+,后天晚上,1
363,14,pheJ nɿ+,后天,1
364,14,pheJ phi7,吹的叶子,1
365,14,pheJ phi7 mu+,吹叶子,1
366,14,pheJ tʂi+,①拍子 ②盒子,2
367,14,phẽ7,不行；不成器,1
368,14,phẽ7 tʂi+,片子(影片),1
369,14,phẽ7 tʂi+ lɿ+ A+,(词义截断，未显示),1
370,15,phA+,①搔 ②脱粒(抹包谷),2
371,15,phA7,也许；或许,1
372,15,phA7 de+ lɿ+,爬上来,1
373,15,phe+ gɯ+ gɯ+,辣味烈,1
374,15,phe+ gɯ+ phe+ ne+ tʂhɿ+,抢先,1
375,15,phe+ kɔ+,争夺；抢夺；掠夺,1
376,15,phe+ phe+ mu+,狠狠地,1
377,15,phe+ ʐo+,掠取；夺得,1
378,15,phɛ+,袋子；口袋,1
379,15,phɛ+ du7,衣袋,1
380,15,phɛ+ hɛ+,口袋,1
381,15,phɛJ,①母(专指鸡和野鸡) ②扬(用风箱扬稻子) ③扒(专指母鸡扒土) ④旗,4
382,15,phɛJ,牌(字头),1
383,15,phɛJ dɛiJ,打牌,1
384,15,phɛJ fÃ+,牌坊,1
385,15,phɛJ nɛi+ buJ mɔ+,红旗,1
386,15,phɛJ tʂuiJ,排队,1
387,15,phɛJ tʂÃ+,排长,1
388,15,phɛJ zɔJ,小旗子,1
389,15,phɛJ zɔJ vɿ+,扬旗,1
390,15,phɛJ ʐɯJ,旗杆,1
391,16,phA+ khɛ+,掀开,1
392,16,phA+ tʂA+ mɔ+,球；篮球,1
393,16,phA+ tʂA+ mɔ+ dɛiJ,打篮球,1
394,16,phA+ tʂAJ dlɔ+,踢足球,1
395,16,phA+ tʂi+ ʑuA+,木棉(攀枝花),1
396,16,phA+ tʰo+,掀起,1
397,16,phA+ xɔ+,揭开,1
398,16,phAJ,旁(字头),1
399,16,phAJ hɛ+ mɔ+,螃蟹,1
400,16,phɔ+,①泡 ②布,2
401,16,phɔ+ bɛ+,①抹布 ②破布,2
402,16,phɔ+ du+ gA+ mɔ+,旧布,1
403,16,phɔ+ du+ mɔ+,白布,1
404,16,phɔ+ dwJ mɔ+,布匹,1
405,16,phɔ+ dʐiJ phɔ+ mɔ+,零布,1
406,16,phɔ+ moJ,隐蔽；躲藏；躲避；掩蔽,1
407,16,phɔ+ moJ phɔ+ tʂɿ+ gɔ+,捉迷藏,1
408,16,phɔ+ moJ xɔ+,躲开,1
409,16,phɔ+ ne+ duJ mɔ+,黑布,1
410,16,phɔ+ nɛi+ buJ mɔ+,红布,1
411,16,phɔ+ nɿ7 mɔ+,零布,1
412,16,phɔ+ phi+ lɛJ mɔ+,蓝布,1
413,16,phɔ+ phi+ muJ tʂhɿ+ mɔ+,灰布,1
414,16,phɔ+ tʂhi+ nɿ+,布鞋,1
415,16,phɔ+ tʂhiJ,织布,1
416,16,phɔ+ tʂhiJ tu+,织布机,1
417,16,phɔ7,抛(字头),1
418,16,phɔ7 ZɛiJ mɔ+,大砲,1
419,16,phɔ7 gɯJ tʂho+,砲手,1
420,16,phɔ7 pĩ+,砲兵,1
421,17,pho+,松软,1
422,17,pho7,捧(字头),1
423,17,pho7 gɯJ,解释,1
424,17,pho7 lɿ+,纠缠,1
425,17,pho7 tɛ+,碰着；遇着,1
426,17,phoJ,碰(字头),1
427,17,phoJ ʑuAJ,破坏,1
428,17,phɔ+ dʐiJ gɔJ mɔ+,花布,1
429,17,phɔ+ dʐiJ nAJ mɔ+,碎布,1
430,17,phɔ+ ho+,染布,1
431,17,phɔ+ o7,布头,1
432,17,phɔJ,①人 ②族 ③男 ④父,4
433,17,phɔJ mɯ+,弟弟(引称),1
434,17,phɔJ tʂo+ mɔ+ tʂo+,父母俱在(文学语),1
435,17,phɔJ zɔJ,父子；叔侄,1
436,17,phɔJ ŋɛi+ phɔJ,继父,1
437,17,phɿ+,盖,1
438,17,phɿ+ tu+ no7 ŋɤJ,铺盖行李,1
439,17,phɿ+ tʂhiJ,遮盖；掩盖,1
440,18,phu+,公,1
441,18,phu+,①睁 ②开 ③胀,3
442,18,phu+ e+,呸,1
443,18,phu+ khɛ+,开,1
444,18,phu+ tʂhe+ phɔJ zɔJ,乡亲,1
445,18,phu+ xɔ+,揭开,1
446,18,phu7,普(字头),1
447,18,phu7 tʂhi+,铺子,1
448,18,phu7 tʂi+ khɛ+,开铺子,1
449,18,phuJ,①价；价值；价格；牌价 ②祖先,2
450,18,phuJ be+,讲价钱(专指讨价还价),1
451,18,phuJ bo+,珍贵；宝贝,1
452,18,phuJ mɔJ nɿ+,不值钱,1
453,18,phuJ mɔJ ŋo7,免费,1
454,18,phɿ+,拍,1
455,18,phɿJ,色(红色的色),1
456,18,phɿJ,肿,1
457,18,phɿJ Sɿ+,消肿,1
458,19,phiA7,票(字头),1
459,19,phiA7 thɿJ,投票,1
460,19,phu+,①架 ②丛,2
461,19,phu+,①建(盖) ②捣(敲),2
462,19,phu+,把(火把的把),1
463,19,phu+ tho+,普通,1
464,19,phuJ,盖,1
465,19,phuJ SiJ,膀胱,1
466,19,phuJ de+,涨价,1
467,19,phuJ dɛJ,估价,1
468,19,phuJ dɿJ,值得,1
469,19,phuJ ghe+,高价；昂贵,1
470,19,phuJ lo+,廉价；便宜,1
471,19,phuJ lo+ mu+ vɯJ,贱卖；削价出售,1
472,19,phuJ mɿ7,喷,1
473,19,phuJ nɿ+,值钱；宝贵,1
474,19,phuJ thɿ+ tʂhɿ+,跌价,1
475,19,phuJ thɿJ mɔ+,风箱(铁匠用具),1
476,19,phuJ tʂeJ,折价,1
477,19,phuJ tʂi7 tʂ?ɿ7,定价,1
478,19,phuJ zeJ,减价；降价,1
479,20,bi+,①颤音 ②震,2
480,20,bi+ nɿJ,微震,1
481,20,bi+ tʰo+ lɿ+,颤抖,1
482,20,biJ,给,1
483,20,biJ vɿJ,屁,1
484,20,bɿ7,悄(悄悄地的悄),1
485,20,bɿJ,散,1
486,20,bɿJ bɿJ nɔJ nɔJ,散乱,1
487,20,bɿJ bɿJ tʂA+ tʂA+,散乱,1
488,20,bɿJ de+ dʐiJ,散开(自动),1
489,20,bɿJ lɿJ S?ɔJ lɔJ,杂乱,1
490,20,bɿJ tʂi+,河水,1
491,20,bɿJ tʂi+ gɯJ,趟水；过河,1
492,20,bɿJ tʂi+ tɯ7 phe+ lo+,对岸,1
493,20,bɿJ tʂi+ tʂi+,河边；江边,1
494,21,be+,说；讲,1
495,21,be+ XɔJ,调解,1
496,21,be+ Xɯ+,爱说爱讲,1
497,21,be+ do+,讲吧,1
498,21,be+ dɛi+,说得通,1
499,21,be+ dɤJ,可以说,1
500,21,be+ dɿ+,通知；告诉,1
501,21,be+ gɯ+,说完,1
502,21,be+ ku7,能说会道,1
503,21,be+ ku7 S?i+ ne+ S?ɔ+,能说会道的人说出话来动听(成语),1
504,21,be+ lɔ+ gɔJ,告知,1
505,21,be+ lɛ+,好说(容易商量),1
506,21,be+ mɤJ,说明,1
507,21,be+ nɿ7,俗话,1
508,21,be+ nɿ7 be+ dʐɔ+ lɿ7,俗话说,1
509,21,be+ tshɿ+ lɿ+,说服,1
510,21,be+ tu+ S?ɔ+,便于说,1
511,21,be+ tʂA+,①好说 ②说定,2
512,21,be+ tʂhA+ mɔJ tʰo7,十全十美,1
513,21,be+ tʂhɛi+,离婚,1
514,21,be+ tʂi7,敢说,1
515,21,be+ tʰo7 doJ,诺言,1
516,21,be+ ʐo7,难说,1
517,21,be+ ʐo7,好意思说,1
518,21,bɿJ,裂,1
519,21,bɿJ khɛ+,散开,1
520,21,bɿJ tʂi+ gɔ7 go+,江中,1
521,21,bɿJ xɔ+,散了,1
522,22,be+,①明(松明) ②掌(脚掌),2
523,22,be+,①曾祖 ②祖先,2
524,22,be+ ghe+,话多,1
525,22,be+ gɯ+ mɔJ dɤJ,说不完,1
526,22,bu+ mu+ tʂi+,连根拔,1
527,22,bɛ+,根,1
528,22,bɛ+ VeJ,揭老底,1
529,22,bɛ+ Vo7,摸底,1
530,22,bɛ+ duJ,挖根,1
531,22,bɛ+ duJ duJ mu+,身体结实,1
532,22,bɛ+ dɛiJ,打算,1
533,22,bɛ+ mu+,连根,1
534,22,bɛ+ mu+ dleJ xɔ+,连根判,1
535,22,bɛ+ thɛiJ,刨根,1
536,22,bɛ+ ŋɔ+,撬根,1
537,22,bɛ7,指(六指的指),1
538,22,bɛJ,①野鸭 ②把(量词) ③斗(动词) ④摔跤,4
539,22,bɛJ phɔ+,摔跤时奖给优胜者的红布,1
540,23,bA+,①打(鸟) ②炸 ③射,3
541,23,bA+,①弹(动词) ②断(奶) ③掉,3
542,23,bA+ dʐiJ gɯ+,跳跃,1
543,23,bA+ tɿ+,射中,1
544,23,bA+ tʂi+,枪毙；枪决,1
545,23,bA+ xɔ+,打死(专用枪或箭射中身亡),1
